FID,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,Day_91,Day_92,Day_93,Day_94,Day_95,Day_96,Day_97,Day_98,Day_99,Day_100,Day_101,Day_102,Day_103,Day_104,Day_105,Day_106,Day_107,Day_108,Day_109,Day_110,Day_111,Day_112,Day_113,Day_114,Day_115,Day_116,Day_117,Day_118,Day_119,Day_120,Day_121,Day_122,Day_123,Day_124,Day_125,Day_126,Day_127,Day_128,Day_129,Day_130,Day_131,Day_132,Day_133,Day_134,Day_135,Day_136,Day_137,Day_138,Day_139,Day_140,Day_141,Day_142,Day_143,Day_144,Day_145,Day_146,Day_147,Day_148,Day_149,Day_150,Day_151,Day_152,Day_153,Day_154,Day_155,Day_156,Day_157,Day_158,Day_159,Day_160,Day_161,Day_162,Day_163,Day_164,Day_165,Day_166,Day_167,Day_168,Day_169,Day_170,Day_171,Day_172,Day_173,Day_174,Day_175,Day_176,Day_177,Day_178,Day_179,Day_180,Day_181,Day_182,Day_183,Day_184,Day_185,Day_186,Day_187,Day_188,Day_189,Day_190,Day_191,Day_192,Day_193,Day_194,Day_195,Day_196,Day_197,Day_198,Day_199,Day_200,Day_201,Day_202,Day_203,Day_204,Day_205,Day_206,Day_207,Day_208,Day_209,Day_210,Day_211,Day_212,Day_213,Day_214,Day_215,Day_216,Day_217,Day_218,Day_219,Day_220,Day_221,Day_222,Day_223,Day_224,Day_225,Day_226,Day_227,Day_228,Day_229,Day_230,Day_231,Day_232,Day_233,Day_234,Day_235,Day_236,Day_237,Day_238,Day_239,Day_240,Day_241,Day_242,Day_243,Day_244,Day_245,Day_246,Day_247,Day_248,Day_249,Day_250,Day_251,Day_252,Day_253,Day_254,Day_255,Day_256,Day_257,Day_258,Day_259,Day_260,Day_261,Day_262,Day_263,Day_264,Day_265,Day_266,Day_267,Day_268,Day_269,Day_270,Day_271,Day_272,Day_273,Day_274,Day_275,Day_276,Day_277,Day_278,Day_279,Day_280,Day_281,Day_282,Day_283,Day_284,Day_285,Day_286,Day_287,Day_288,Day_289,Day_290,Day_291,Day_292,Day_293,Day_294,Day_295,Day_296,Day_297,Day_298,Day_299,Day_300,Day_301,Day_302,Day_303,Day_304,Day_305,Day_306,Day_307,Day_308,Day_309,Day_310,Day_311,Day_312,Day_313,Day_314,Day_315,Day_316,Day_317,Day_318,Day_319,Day_320,Day_321,Day_322,Day_323,Day_324,Day_325,Day_326,Day_327,Day_328,Day_329,Day_330,Day_331,Day_332,Day_333,Day_334,Day_335,Day_336,Day_337,Day_338,Day_339,Day_340,Day_341,Day_342,Day_343,Day_344,Day_345,Day_346,Day_347,Day_348,Day_349,Day_350,Day_351,Day_352,Day_353,Day_354,Day_355,Day_356,Day_357,Day_358,Day_359,Day_360,Day_361,Day_362,Day_363,Day_364,Day_365,Day_366
0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,8,16,1,11,1,26,21,0,0,0,0,0,0,9,10,0,2,0,3,1,3,0,0,0,0,10,6,0,30,6,0,0,3,1,6,27,2,2,0,0,0,0,0,24,47,5,4,18,3,107,30,14,4,0,0,0,0,1,0,11,0,0,1,10,13,3,2,5,0,2,0,19,24,59,23,9,14,0,29,17,0,0,8,19,25,60,0,10,18,11,2,0,0,3,31,14,11,6,4,7,12,22,38,24,4,18,1,17,14,5,23,20,13,17,22,1,2,50,4,49,8,15,12,19,30,36,6,4,8,23,4,20,14,6,36,61,55,6,3,14,14,11,20,22,34,53,32,10,3,4,2,5,13,13,0,0,7,8,12,0,43,6,38,5,3,8,2,13,7,7,1,0,14,9,4,1,1,3,0,8,11,18,26,12,17,4,15,19,3,15,0,37,18,12,2,0,0,11,13,19,5,91,29,3,16,0,22,12,0,11,2,7,9,0,3,4,2,1,4,4,2,3,1,53,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,8,16,1,12,1,24,20,0,0,0,0,0,0,9,10,0,2,0,3,1,3,0,0,0,0,10,5,0,29,5,0,0,2,1,6,26,2,2,0,0,0,0,0,23,45,5,4,18,3,106,29,13,4,0,0,0,0,1,0,11,0,0,1,9,13,2,2,5,0,2,0,20,25,57,23,9,13,0,28,16,0,0,8,18,25,58,0,10,17,11,2,0,0,3,29,14,11,6,4,8,11,21,38,25,4,18,1,17,14,5,22,20,13,16,23,1,2,50,4,48,10,15,11,20,31,36,6,3,8,22,4,20,14,6,36,60,54,6,3,16,14,11,20,22,33,53,32,10,2,4,2,5,12,12,0,0,7,8,13,0,42,6,38,6,3,9,2,13,7,7,1,0,15,8,4,2,1,3,0,8,11,18,26,12,18,4,15,19,3,16,0,36,19,12,2,0,0,11,12,18,5,88,29,3,15,0,21,11,0,11,2,9,9,0,3,4,1,1,4,4,2,3,1,55,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,10,17,0,0,0,0,0,0,2,3,0,1,0,4,0,1,0,0,0,0,53,11,4,10,2,0,0,1,0,71,9,1,1,0,0,0,0,0,12,16,2,2,7,1,33,10,5,1,0,0,0,0,33,0,17,0,0,7,13,25,1,2,2,1,9,0,6,35,24,17,5,14,0,12,6,0,0,10,10,10,23,0,28,14,35,14,0,0,26,12,21,20,24,1,1,25,26,44,57,3,10,1,11,46,21,127,37,13,35,6,3,3,16,7,113,70,4,10,13,7,41,4,5,16,22,13,13,12,7,48,24,68,13,52,45,32,125,98,222,76,90,12,4,23,23,1,6,11,12,0,2,5,3,15,2,31,25,18,3,9,3,13,19,18,2,0,0,89,3,2,0,10,1,1,38,13,17,49,9,68,4,7,17,29,16,1,31,19,7,0,0,0,7,18,39,54,58,39,2,56,13,60,22,1,4,1,39,3,10,1,4,1,0,14,44,2,5,4,58,13,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,38,3,0,0,0,3,2,10,0,0,0,10,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,1,0,9,0,13,14,25,0,0,0,14,0,13,5,2,13,0,22,35,50,0,0,0,0,10,15,0,43,7,0,0,0,7,0,6,2,2,0,0,4,0,0,21,17,0,5,28,0,17,35,62,0,0,0,0,0,15,12,6,0,0,0,4,2,29,1,1,0,0,8,1,8,23,95,54,22,0,80,24,0,0,0,17,19,14,0,17,4,16,30,0,0,0,57,29,14,28,1,3,1,9,32,3,33,27,0,3,12,23,54,88,73,41,16,2,8,32,10,13,6,6,2,4,38,32,7,4,2,14,1,5,4,11,16,28,24,2,14,37,11,4,19,46,39,37,18,7,26,34,6,19,83,16,1,1,11,22,13,0,27,2,15,0,1,1,1,16,8,6,0,0,15,11,5,0,11,0,0,22,32,32,20,32,33,3,23,5,2,12,14,22,30,6,1,0,8,13,66,16,28,45,15,10,68,39,114,10,0,3,2,9,7,0,0,1,13,6,10,22,6,2,2,18,17,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,12,3,0,0,0,2,1,3,0,0,0,10,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,11,13,1,12,0,24,21,8,0,0,0,4,0,11,9,1,5,0,9,11,17,0,0,0,0,10,9,0,37,7,0,0,2,3,4,23,2,2,0,0,1,0,0,25,42,4,4,23,2,82,35,30,3,0,0,0,0,6,4,7,0,0,1,7,6,10,2,3,0,2,5,8,11,46,63,32,28,0,44,18,0,0,2,22,14,38,0,8,10,12,12,0,0,2,30,22,19,17,3,5,8,18,27,14,14,21,1,17,29,13,35,38,21,18,12,4,7,44,14,27,5,10,13,7,22,28,5,16,7,18,4,12,10,11,22,48,41,4,9,20,27,6,18,28,30,42,23,10,14,16,3,9,23,10,4,3,11,13,15,1,34,4,28,3,4,5,4,12,7,5,2,1,8,8,7,1,13,3,0,9,19,25,26,24,21,12,18,16,8,12,21,25,13,9,4,0,7,17,41,21,17,62,25,10,49,36,43,13,0,9,3,17,9,0,2,4,4,4,10,24,8,2,2,31,15,30,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,13,4,0,0,0,2,1,4,0,0,0,9,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,10,9,1,10,0,22,21,9,0,0,0,5,0,9,8,1,5,0,10,12,19,0,0,0,0,19,10,0,35,6,0,0,2,3,22,20,1,2,0,0,2,0,0,23,38,4,4,22,2,70,33,30,3,0,0,0,0,11,4,8,0,0,1,8,8,10,2,4,0,2,4,9,13,53,60,30,26,0,47,20,0,0,2,22,16,42,0,8,11,12,12,0,0,2,36,23,17,16,3,4,9,19,30,14,14,23,1,17,25,13,36,40,24,21,13,3,6,45,11,31,5,10,12,7,24,31,5,12,6,18,4,14,10,11,23,51,44,4,8,19,24,8,19,29,34,45,25,10,13,16,4,9,28,12,3,2,10,14,14,1,38,5,31,3,3,5,3,14,7,5,2,0,10,10,6,1,10,3,0,11,20,25,26,23,21,10,19,17,7,13,16,29,16,9,3,0,5,15,39,22,16,71,25,8,45,29,48,12,0,10,3,13,9,0,2,4,5,4,9,20,6,2,2,33,15,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0,21,2,0,0,0,3,1,6,0,0,0,10,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,11,9,1,10,0,19,17,14,0,0,0,8,0,12,7,1,8,0,14,20,29,0,0,0,0,10,11,0,38,6,0,0,1,4,3,15,1,2,0,0,2,0,0,23,31,3,4,24,1,58,34,41,2,0,0,0,0,10,7,4,0,0,1,4,3,13,2,1,0,2,7,6,7,27,76,40,31,0,46,16,0,0,1,21,11,24,0,9,7,12,18,0,0,2,26,23,20,21,2,5,5,13,22,11,19,19,0,13,33,16,37,47,28,19,11,5,9,39,17,15,6,10,10,5,22,25,4,20,8,16,4,8,7,12,19,37,32,3,12,27,30,5,18,31,26,35,18,8,19,21,4,9,28,8,5,4,12,16,15,1,22,3,19,2,3,4,5,10,6,4,2,1,7,7,7,0,17,2,0,8,21,25,23,27,23,16,18,12,10,11,29,17,14,6,5,0,9,19,51,18,23,40,23,12,60,50,52,12,0,6,3,22,8,0,1,4,6,6,11,32,9,2,3,26,15,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,16,3,0,0,0,2,1,4,0,0,0,10,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,11,11,1,11,0,21,19,11,0,0,0,6,0,11,8,1,6,0,11,15,23,0,0,0,0,10,10,0,37,6,0,0,2,4,4,19,1,2,0,0,2,0,0,24,36,3,4,23,2,70,34,35,2,0,0,0,0,7,5,5,0,0,1,5,4,12,2,2,0,2,6,7,9,34,71,37,30,0,45,17,0,0,1,21,12,29,0,8,8,12,16,0,0,2,27,23,19,19,2,5,6,15,24,12,17,20,1,15,32,15,36,44,25,18,11,5,8,41,16,19,6,10,11,6,22,26,4,19,8,17,4,10,8,12,20,41,36,3,11,24,29,5,18,30,28,38,20,9,17,19,4,9,26,8,5,3,11,15,15,1,26,3,22,2,3,5,5,11,7,4,2,1,8,7,7,0,16,2,0,8,20,25,24,26,22,15,18,13,9,11,26,20,14,7,4,0,8,18,47,19,21,48,24,11,56,45,49,12,0,7,3,20,8,0,1,4,5,5,11,29,9,2,2,28,15,27,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,0,0,0,0,0,0,0,13,3,0,0,0,2,1,4,0,0,0,10,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,11,12,1,11,0,23,20,9,0,0,0,5,0,11,9,1,6,0,10,13,19,0,0,0,0,10,9,0,37,6,0,0,2,3,4,21,2,2,0,0,2,0,0,24,40,4,4,23,2,77,34,32,3,0,0,0,0,6,4,7,0,0,1,7,6,12,2,3,0,2,5,8,11,44,65,34,27,0,47,19,0,0,1,21,14,36,0,9,10,12,14,0,0,2,33,23,18,18,3,4,8,17,28,13,16,22,1,16,27,14,37,44,26,21,12,4,7,43,13,26,5,10,12,7,24,29,5,15,7,18,4,12,9,11,22,46,40,4,10,22,25,6,18,30,31,42,23,9,15,18,4,10,29,11,4,3,11,14,14,1,33,4,26,3,3,5,4,13,7,5,2,1,9,9,7,0,13,2,0,10,20,25,25,25,22,11,19,15,8,12,20,25,15,8,4,0,7,16,43,21,18,61,24,10,50,36,51,12,0,9,3,16,9,0,2,4,5,5,10,24,7,2,2,30,15,28,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,0,0,0,0,0,0,0,17,3,0,0,0,2,1,5,0,0,0,10,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,11,10,1,11,0,21,19,12,0,0,0,7,0,11,8,1,7,0,12,17,25,0,0,0,0,10,10,0,38,6,0,0,2,4,3,19,2,2,0,0,2,0,0,24,36,3,4,24,2,68,35,37,2,0,0,0,0,8,6,6,0,0,1,6,5,13,2,2,0,2,6,7,9,37,71,37,28,0,49,18,0,0,1,21,13,30,0,9,8,12,17,0,0,2,31,23,18,19,2,5,6,15,26,12,18,21,1,14,29,15,38,47,29,21,12,4,8,41,14,21,5,10,11,6,24,27,5,16,7,17,4,10,8,12,20,42,36,4,11,25,26,5,18,31,30,39,21,9,17,20,4,10,31,10,4,3,11,15,15,1,29,3,23,2,3,4,4,12,7,5,2,1,9,8,7,0,14,2,0,10,21,26,24,26,23,12,19,13,8,12,23,22,15,7,4,0,8,17,47,19,20,52,23,11,55,41,54,12,0,7,3,18,8,0,1,4,6,5,10,27,8,2,2,28,15,26,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
