FID,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,Day_91,Day_92,Day_93,Day_94,Day_95,Day_96,Day_97,Day_98,Day_99,Day_100,Day_101,Day_102,Day_103,Day_104,Day_105,Day_106,Day_107,Day_108,Day_109,Day_110,Day_111,Day_112,Day_113,Day_114,Day_115,Day_116,Day_117,Day_118,Day_119,Day_120,Day_121,Day_122,Day_123,Day_124,Day_125,Day_126,Day_127,Day_128,Day_129,Day_130,Day_131,Day_132,Day_133,Day_134,Day_135,Day_136,Day_137,Day_138,Day_139,Day_140,Day_141,Day_142,Day_143,Day_144,Day_145,Day_146,Day_147,Day_148,Day_149,Day_150,Day_151,Day_152,Day_153,Day_154,Day_155,Day_156,Day_157,Day_158,Day_159,Day_160,Day_161,Day_162,Day_163,Day_164,Day_165,Day_166,Day_167,Day_168,Day_169,Day_170,Day_171,Day_172,Day_173,Day_174,Day_175,Day_176,Day_177,Day_178,Day_179,Day_180,Day_181,Day_182,Day_183,Day_184,Day_185,Day_186,Day_187,Day_188,Day_189,Day_190,Day_191,Day_192,Day_193,Day_194,Day_195,Day_196,Day_197,Day_198,Day_199,Day_200,Day_201,Day_202,Day_203,Day_204,Day_205,Day_206,Day_207,Day_208,Day_209,Day_210,Day_211,Day_212,Day_213,Day_214,Day_215,Day_216,Day_217,Day_218,Day_219,Day_220,Day_221,Day_222,Day_223,Day_224,Day_225,Day_226,Day_227,Day_228,Day_229,Day_230,Day_231,Day_232,Day_233,Day_234,Day_235,Day_236,Day_237,Day_238,Day_239,Day_240,Day_241,Day_242,Day_243,Day_244,Day_245,Day_246,Day_247,Day_248,Day_249,Day_250,Day_251,Day_252,Day_253,Day_254,Day_255,Day_256,Day_257,Day_258,Day_259,Day_260,Day_261,Day_262,Day_263,Day_264,Day_265,Day_266,Day_267,Day_268,Day_269,Day_270,Day_271,Day_272,Day_273,Day_274,Day_275,Day_276,Day_277,Day_278,Day_279,Day_280,Day_281,Day_282,Day_283,Day_284,Day_285,Day_286,Day_287,Day_288,Day_289,Day_290,Day_291,Day_292,Day_293,Day_294,Day_295,Day_296,Day_297,Day_298,Day_299,Day_300,Day_301,Day_302,Day_303,Day_304,Day_305,Day_306,Day_307,Day_308,Day_309,Day_310,Day_311,Day_312,Day_313,Day_314,Day_315,Day_316,Day_317,Day_318,Day_319,Day_320,Day_321,Day_322,Day_323,Day_324,Day_325,Day_326,Day_327,Day_328,Day_329,Day_330,Day_331,Day_332,Day_333,Day_334,Day_335,Day_336,Day_337,Day_338,Day_339,Day_340,Day_341,Day_342,Day_343,Day_344,Day_345,Day_346,Day_347,Day_348,Day_349,Day_350,Day_351,Day_352,Day_353,Day_354,Day_355,Day_356,Day_357,Day_358,Day_359,Day_360,Day_361,Day_362,Day_363,Day_364,Day_365
0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,5,4,0,0,0,0,0,0,0,9,10,0,0,4,0,4,27,0,3,1,0,0,0,22,7,9,6,13,5,7,43,36,1,31,2,25,0,0,0,9,0,0,0,0,5,5,0,0,0,21,5,13,20,24,66,3,0,0,5,24,20,11,0,10,1,8,15,0,1,26,13,0,72,2,40,5,12,4,12,11,39,13,15,20,15,7,7,9,0,1,14,1,16,18,1,2,22,0,1,1,0,0,32,36,3,5,0,3,6,75,59,21,6,2,10,10,19,6,27,8,9,33,29,11,6,12,21,25,6,71,24,22,11,0,17,13,2,9,6,3,55,62,15,10,18,40,18,8,3,4,14,1,1,33,19,46,26,12,23,10,1,18,27,33,32,15,3,0,3,6,60,4,1,21,7,0,8,14,16,12,4,0,39,3,1,4,4,1,2,0,1,8,3,4,1,5,12,2,0,2,22,1,47,75,9,2,54,45,7,1,0,9,11,10,5,0,0,0,1,0,2,4,25,5,0,15,32,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,5,4,0,0,0,0,0,0,0,9,10,0,0,4,0,4,27,0,3,1,0,0,0,22,7,9,6,12,5,7,42,35,1,30,2,25,0,0,0,9,0,0,0,0,5,5,0,0,0,21,4,13,20,23,63,3,0,0,6,23,18,11,0,10,1,9,14,0,1,26,12,0,69,2,41,5,13,4,11,10,37,13,18,19,16,6,7,9,0,1,15,1,16,17,1,2,21,0,1,1,0,0,34,34,3,5,0,4,7,71,58,21,5,2,10,9,18,6,26,9,9,33,28,12,7,12,20,26,7,73,24,24,11,0,17,14,3,8,7,3,53,63,15,10,18,41,17,8,3,4,14,1,1,32,19,45,25,12,24,10,1,18,27,34,33,15,3,0,3,7,60,4,1,21,6,0,8,14,18,12,4,0,39,3,1,5,4,1,2,0,1,9,4,4,1,5,12,2,0,2,23,1,51,73,9,2,52,48,6,1,0,9,12,9,5,0,0,0,1,0,2,4,24,5,0,14,30,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,11,15,9,0,0,1,0,1,11,0,1,3,0,0,0,22,2,5,2,4,5,3,13,13,0,43,1,8,0,0,0,3,0,0,0,0,5,1,0,0,0,9,3,22,11,8,54,5,0,0,3,8,14,17,7,14,1,17,46,0,23,28,5,0,27,19,16,1,3,8,27,20,16,5,3,8,4,2,8,4,0,0,12,0,121,37,1,5,31,0,0,0,4,0,23,34,36,6,0,8,39,86,113,11,41,1,5,9,27,5,31,10,18,16,37,24,9,16,35,8,4,121,44,14,5,0,13,24,24,14,2,8,21,21,11,11,47,8,25,10,8,4,38,5,1,24,54,33,13,12,23,109,10,46,93,141,72,9,45,25,6,6,22,36,0,52,3,0,4,17,15,5,14,7,79,2,21,9,29,119,12,49,0,14,22,22,6,3,34,1,0,1,15,0,5,68,4,13,59,50,12,0,0,19,11,10,6,11,0,0,0,0,0,1,11,2,0,6,44,0,0,0,0,0,0,5,1,1,2,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,4,0,0,0,3,0,0,13,9,0,0,0,0,0,19,0,6,1,27,0,5,0,27,29,4,18,6,0,0,1,10,12,1,13,26,32,5,44,34,2,12,15,24,0,3,0,1,0,0,0,0,45,1,0,0,0,11,7,8,22,39,13,18,12,31,4,6,33,14,0,7,11,3,20,0,1,8,1,0,17,0,37,16,4,18,13,10,3,14,5,3,1,1,12,24,0,3,8,12,53,45,0,15,2,0,0,0,0,0,21,46,36,1,13,3,138,47,31,30,18,16,56,1,22,12,7,7,65,39,23,4,12,21,37,12,0,49,34,10,11,9,7,2,3,7,12,24,20,40,44,16,34,18,10,6,5,7,13,8,47,60,21,13,21,7,19,32,26,36,38,62,120,26,10,0,9,10,9,10,7,35,3,7,1,5,1,15,0,0,29,10,5,6,140,3,18,2,2,2,0,7,5,2,37,19,0,3,23,0,4,31,4,45,14,16,51,31,2,3,1,30,3,1,0,0,0,0,5,1,22,6,0,29,13,60,0,0,0,0,0,0,0,4,61,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,7,3,0,8,6,0,0,0,0,0,6,0,8,8,8,0,5,0,11,29,1,8,3,0,0,0,18,9,7,9,17,13,7,46,37,1,28,6,27,0,1,0,7,0,0,0,0,18,3,0,0,0,18,6,11,21,30,56,8,4,10,5,20,20,11,0,10,9,6,16,0,1,12,8,0,54,1,30,11,7,8,12,11,23,11,1,20,5,4,14,14,0,1,12,6,32,30,1,8,14,0,0,0,1,1,33,44,21,6,2,11,36,51,45,25,13,6,20,8,27,16,25,9,26,33,28,7,16,20,24,15,2,60,29,14,11,1,18,13,3,9,9,4,38,33,21,14,16,19,11,7,3,11,9,14,22,40,21,38,29,10,19,17,16,34,27,27,33,18,11,0,21,5,35,14,5,22,5,9,6,13,4,18,2,0,24,13,5,8,48,1,10,0,8,2,1,2,5,10,23,4,0,14,19,0,6,51,18,20,37,25,10,6,7,5,5,14,7,0,0,0,0,0,9,3,21,7,0,22,24,43,0,0,0,0,0,0,1,7,22,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,6,3,0,8,6,0,0,0,0,0,6,2,8,7,9,0,4,0,12,26,2,8,3,0,0,0,15,9,7,8,15,14,6,40,33,1,30,6,24,0,1,0,6,0,0,0,0,20,2,0,0,0,15,6,12,19,28,57,9,4,11,2,19,23,11,0,9,8,5,17,0,1,15,10,0,60,2,32,10,8,9,13,12,28,13,1,20,6,4,13,15,0,1,13,6,29,30,1,7,16,0,0,0,1,1,31,41,19,5,3,8,39,59,48,24,12,7,23,9,27,14,26,9,27,34,30,7,13,20,25,17,1,64,28,13,11,2,18,12,3,9,9,6,44,39,23,13,19,21,13,7,3,8,11,11,20,42,22,40,30,10,19,18,14,32,30,31,40,19,10,0,16,5,40,11,4,25,6,7,6,13,5,17,2,0,29,11,4,7,40,1,9,0,6,2,1,3,4,9,23,5,0,11,21,0,8,56,15,19,42,31,13,7,5,6,5,16,6,0,0,0,1,0,7,2,23,7,0,22,28,36,0,0,0,0,0,0,1,6,22,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,0,0,5,2,0,9,7,0,0,0,0,0,10,0,7,5,15,0,5,0,16,27,2,11,5,0,0,1,14,10,5,10,21,20,6,45,35,2,22,10,25,0,2,0,5,0,0,0,0,27,2,0,0,0,16,6,12,21,35,37,11,7,17,5,15,18,11,0,9,13,6,14,0,1,6,3,0,33,1,27,14,5,10,10,9,9,7,2,14,2,4,15,16,0,1,11,8,44,32,0,10,6,0,0,0,1,2,34,45,28,6,4,15,57,35,36,28,15,9,23,5,26,19,18,9,33,33,22,5,20,21,25,9,2,52,31,16,10,2,16,12,5,9,10,7,22,23,22,15,15,14,7,6,4,14,8,18,31,42,21,27,25,8,20,19,22,40,26,29,43,18,14,0,26,7,20,18,6,20,3,12,4,11,3,18,1,0,16,16,6,10,78,1,13,1,11,1,0,2,6,11,27,6,0,17,16,0,3,37,18,28,21,21,15,9,10,3,5,16,8,0,0,0,0,0,12,2,16,7,0,22,15,61,0,0,0,0,0,0,0,8,33,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,2,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,6,3,0,8,6,0,0,0,0,0,8,0,8,7,11,0,5,0,14,28,2,9,3,0,0,1,17,10,6,9,17,16,6,45,36,1,24,7,26,0,1,0,6,0,0,0,0,22,3,0,0,0,17,6,11,21,31,46,9,5,13,5,17,19,11,0,9,11,6,14,0,1,8,5,0,40,1,28,13,6,9,11,10,14,8,1,16,3,4,15,15,0,1,12,7,40,31,0,9,9,0,0,0,1,1,34,43,25,6,3,13,49,40,39,26,14,8,22,6,27,18,20,9,30,33,24,5,19,21,24,11,2,60,30,15,10,2,17,12,3,9,10,6,28,26,22,14,15,16,8,6,4,13,9,16,28,41,21,31,27,9,19,18,20,38,26,28,39,18,13,0,24,6,26,17,6,21,4,11,4,12,3,18,1,0,18,15,6,9,60,1,11,0,10,1,0,2,6,11,25,5,0,16,17,0,4,42,18,25,27,26,13,8,9,3,5,15,7,0,0,0,0,0,11,2,18,7,0,22,19,55,0,0,0,0,0,0,1,8,29,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,7,3,0,8,6,0,0,0,0,0,7,0,8,7,9,0,5,0,12,29,2,8,3,0,0,0,18,9,7,9,16,14,7,45,37,1,27,6,26,0,1,0,7,0,0,0,0,19,3,0,0,0,18,6,11,21,30,52,8,5,11,5,18,21,11,0,9,9,5,16,0,1,12,7,0,50,1,31,11,7,9,12,11,21,11,1,18,5,4,13,15,0,1,12,6,34,31,1,8,13,0,0,0,1,1,32,43,22,5,3,10,47,51,44,25,13,7,24,8,26,16,23,9,30,34,27,6,15,20,25,14,2,61,29,14,11,2,17,11,3,9,9,6,37,34,23,14,18,19,11,6,3,10,10,13,24,42,21,35,28,10,19,19,17,34,29,31,43,19,11,0,19,6,33,13,5,23,5,9,5,12,4,17,2,0,25,12,5,8,49,1,11,1,8,2,1,3,5,9,24,6,0,13,19,0,6,49,16,22,35,28,14,8,7,5,5,16,7,0,0,0,0,0,9,2,21,7,0,22,23,45,0,0,0,0,0,0,1,6,26,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,2,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,0,0,6,3,0,9,7,0,0,0,0,0,9,0,7,6,13,0,5,0,15,29,2,10,4,0,0,1,16,10,6,10,18,17,6,45,36,1,24,8,26,0,1,0,6,0,0,0,0,24,3,0,0,0,17,6,11,21,32,45,10,6,14,5,17,21,11,0,9,11,6,15,0,1,10,6,0,42,1,30,12,6,10,12,10,16,10,2,16,4,3,14,16,0,1,11,7,39,32,1,9,10,0,0,0,1,1,32,45,25,6,4,11,55,45,40,26,14,8,25,6,26,17,20,9,33,34,25,6,17,21,26,12,2,58,30,14,11,3,16,11,3,9,10,7,30,30,24,14,18,17,9,6,4,11,9,15,28,43,21,31,27,9,19,19,19,36,28,32,47,19,12,0,21,7,27,15,6,23,4,10,4,11,3,18,1,0,22,13,5,8,66,1,12,1,9,1,0,3,5,10,26,6,0,14,18,0,5,44,16,26,29,24,16,10,8,4,5,17,7,0,0,0,0,0,10,2,19,7,0,22,20,51,0,0,0,0,0,0,1,7,30,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
