Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,,Day_91,Day_92,Day_93,Day_94,Day_95,Day_96,Day_97,Day_98,Day_99,Day_100,Day_101,Day_102,Day_103,Day_104,Day_105,Day_106,Day_107,Day_108,Day_109,Day_110,Day_111,Day_112,Day_113,Day_114,Day_115,Day_116,Day_117,Day_118,Day_119,Day_120,,Day_121,Day_122,Day_123,Day_124,Day_125,Day_126,Day_127,Day_128,Day_129,Day_130,Day_131,Day_132,Day_133,Day_134,Day_135,Day_136,Day_137,Day_138,Day_139,Day_140,Day_141,Day_142,Day_143,Day_144,Day_145,Day_146,Day_147,Day_148,Day_149,Day_150,Day_151,,Day_152,Day_153,Day_154,Day_155,Day_156,Day_157,Day_158,Day_159,Day_160,Day_161,Day_162,Day_163,Day_164,Day_165,Day_166,Day_167,Day_168,Day_169,Day_170,Day_171,Day_172,Day_173,Day_174,Day_175,Day_176,Day_177,Day_178,Day_179,Day_180,Day_181,,Day_182,Day_183,Day_184,Day_185,Day_186,Day_187,Day_188,Day_189,Day_190,Day_191,Day_192,Day_193,Day_194,Day_195,Day_196,Day_197,Day_198,Day_199,Day_200,Day_201,Day_202,Day_203,Day_204,Day_205,Day_206,Day_207,Day_208,Day_209,Day_210,Day_211,Day_212,,Day_213,Day_214,Day_215,Day_216,Day_217,Day_218,Day_219,Day_220,Day_221,Day_222,Day_223,Day_224,Day_225,Day_226,Day_227,Day_228,Day_229,Day_230,Day_231,Day_232,Day_233,Day_234,Day_235,Day_236,Day_237,Day_238,Day_239,Day_240,Day_241,Day_242,Day_243,,Day_244,Day_245,Day_246,Day_247,Day_248,Day_249,Day_250,Day_251,Day_252,Day_253,Day_254,Day_255,Day_256,Day_257,Day_258,Day_259,Day_260,Day_261,Day_262,Day_263,Day_264,Day_265,Day_266,Day_267,Day_268,Day_269,Day_270,Day_271,Day_272,Day_273,,Day_274,Day_275,Day_276,Day_277,Day_278,Day_279,Day_280,Day_281,Day_282,Day_283,Day_284,Day_285,Day_286,Day_287,Day_288,Day_289,Day_290,Day_291,Day_292,Day_293,Day_294,Day_295,Day_296,Day_297,Day_298,Day_299,Day_300,Day_301,Day_302,Day_303,Day_304,,Day_305,Day_306,Day_307,Day_308,Day_309,Day_310,Day_311,Day_312,Day_313,Day_314,Day_315,Day_316,Day_317,Day_318,Day_319,Day_320,Day_321,Day_322,Day_323,Day_324,Day_325,Day_326,Day_327,Day_328,Day_329,Day_330,Day_331,Day_332,Day_333,Day_334,,Day_335,Day_336,Day_337,Day_338,Day_339,Day_340,Day_341,Day_342,Day_343,Day_344,Day_345,Day_346,Day_347,Day_348,Day_349,Day_350,Day_351,Day_352,Day_353,Day_354,Day_355,Day_356,Day_357,Day_358,Day_359,Day_360,Day_361,Day_362,Day_363,Day_364,Day_365
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,16,0,13,6,0,0,0,0,0,4,0,4,,8,0,0,1,4,1,0,0,0,4,7,0,0,0,0,0,1,0,15,11,34,1,3,0,0,0,8,0,0,0,30,,6,0,13,0,0,24,10,7,1,5,0,0,7,1,5,7,27,0,21,7,0,43,1,0,0,1,10,5,28,10,,55,1,20,18,1,3,9,23,9,21,17,6,12,1,0,7,12,25,2,9,4,26,16,27,23,6,46,42,31,18,14,,0,12,8,0,33,2,0,3,47,0,34,3,2,0,73,7,16,8,1,0,2,0,7,0,84,68,17,15,5,1,,3,21,4,1,3,36,36,65,30,20,32,40,37,34,34,14,31,0,8,43,39,30,46,25,31,17,38,17,10,15,1,,5,18,16,12,24,0,52,43,5,4,11,4,20,37,29,1,7,8,8,1,0,15,1,26,18,1,3,0,13,2,60,,9,0,16,15,3,4,2,14,3,1,1,32,56,4,31,7,23,8,2,5,6,25,4,51,7,7,0,18,10,14,,1,12,2,2,1,0,0,32,5,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,14,0,11,6,0,0,0,0,0,3,1,3,,8,0,0,1,4,1,0,0,0,4,6,0,0,0,0,0,0,0,14,11,32,1,3,0,0,0,8,0,0,0,31,,6,0,12,0,0,23,10,6,1,4,0,0,7,1,5,7,27,0,20,7,0,41,1,0,0,1,10,5,27,10,,53,1,20,18,1,4,10,22,9,20,16,6,12,0,0,8,11,23,2,8,4,24,16,26,22,6,47,40,30,17,15,,0,11,8,0,33,2,0,4,44,0,33,3,3,0,70,8,16,7,0,0,2,0,8,0,80,66,16,15,5,1,,4,22,4,0,3,35,36,64,30,22,33,41,38,34,34,14,30,0,8,42,38,30,45,25,31,16,38,18,10,14,1,,4,18,16,11,23,0,51,42,6,4,12,3,19,37,29,2,8,11,10,2,0,12,1,32,18,1,2,0,15,4,61,,5,0,20,12,3,5,2,14,4,1,3,26,60,5,26,7,27,11,2,6,6,30,4,50,11,7,0,19,12,14,,1,16,3,2,2,0,0,33,4,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,0,6,1,4,3,0,0,0,0,0,1,4,4,,14,0,0,0,1,5,0,0,0,1,2,0,0,0,0,0,0,0,6,4,11,0,12,0,0,0,12,0,0,0,32,,7,0,7,0,1,6,10,3,4,3,0,0,1,20,2,2,25,0,7,2,0,29,1,0,0,20,12,50,10,4,,23,4,18,12,3,6,1,9,4,20,8,10,3,4,0,1,16,10,3,14,2,10,11,16,11,7,34,20,68,5,3,,1,4,6,0,10,1,2,21,34,40,28,1,0,0,90,49,63,6,2,0,1,3,14,3,99,115,40,33,2,0,,0,32,1,0,11,21,36,30,30,17,81,82,47,45,26,56,13,3,4,30,21,31,68,157,26,6,13,8,3,9,15,,6,12,14,7,10,0,18,33,1,1,1,1,11,17,12,8,3,12,45,9,1,4,1,57,10,1,1,0,14,9,77,,1,0,23,22,2,25,2,16,17,11,22,9,37,38,10,30,49,14,1,3,21,41,11,32,41,4,28,10,23,14,,3,16,2,1,33,1,2,67,1,5,31,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,9,0,0,0,,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,15,0,33,7,0,0,0,17,0,2,5,12,,19,0,0,3,30,23,5,0,3,10,6,0,0,0,1,16,0,5,17,38,12,0,12,0,2,18,7,0,0,0,43,,0,38,1,0,0,5,9,7,14,0,0,0,12,7,1,5,22,12,9,6,0,7,0,0,0,0,2,0,15,6,,3,11,19,22,6,52,2,3,1,1,13,6,5,12,4,7,1,5,29,1,6,10,17,91,1,124,7,43,8,13,0,,0,4,2,0,35,9,1,37,60,8,8,0,0,6,57,225,43,61,1,0,0,5,2,0,19,43,44,54,1,0,,0,13,1,0,0,21,20,31,9,12,44,41,34,17,18,75,3,0,5,12,43,7,99,27,30,38,14,15,14,1,0,,14,18,18,2,22,0,71,38,0,1,13,0,29,14,11,1,22,1,2,0,14,4,0,8,9,6,0,0,2,32,19,,4,0,51,11,27,29,2,16,5,0,2,24,22,6,23,78,89,25,1,0,6,83,15,23,14,4,4,8,6,9,,0,6,9,9,0,6,13,15,10,17,2,0,0,1,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,3,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,0,0,,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,13,0,17,5,1,0,0,5,0,9,5,5,,6,0,0,2,18,19,4,1,2,5,4,0,0,0,4,4,0,5,17,26,23,1,12,0,1,13,7,0,0,0,34,,3,24,7,0,0,13,8,11,14,2,0,0,4,5,5,21,22,2,13,4,0,27,0,0,0,0,9,2,18,10,,29,16,24,19,2,29,9,20,6,13,15,8,4,11,4,3,7,16,15,5,10,23,21,39,13,50,20,33,14,9,5,,0,7,9,0,19,9,3,21,55,7,19,3,0,2,72,59,35,35,5,1,1,1,11,0,51,45,18,26,6,1,,0,17,4,1,2,39,43,46,12,13,35,39,36,28,30,31,24,0,7,38,46,24,63,26,32,25,33,18,12,13,1,,5,34,15,12,27,0,40,31,1,4,22,3,18,26,20,1,16,7,10,1,5,17,1,16,15,10,2,0,10,12,56,,6,0,26,14,11,21,7,11,3,1,7,37,50,11,20,30,46,11,4,4,4,39,7,42,8,6,1,11,8,12,,0,11,13,5,0,1,13,28,3,19,3,1,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,0,0,,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,14,0,19,6,1,0,0,5,0,8,4,5,,8,0,0,2,17,13,3,1,2,6,5,0,0,0,3,4,0,4,15,25,26,1,10,0,1,11,7,0,0,0,33,,3,21,8,0,0,14,8,10,12,3,0,0,5,4,5,17,24,3,16,5,0,30,0,0,0,0,9,3,21,9,,34,13,22,20,2,25,7,22,7,16,17,8,5,9,3,4,8,19,13,6,9,25,20,44,15,49,24,39,17,11,8,,0,9,8,0,23,8,2,19,58,6,23,3,0,2,70,64,33,33,4,1,1,1,9,0,61,51,22,28,6,1,,0,16,4,1,2,40,39,48,15,17,36,41,36,30,30,29,24,0,8,38,44,25,59,26,33,23,34,18,11,13,1,,6,30,16,12,28,0,46,35,1,4,18,3,22,27,23,1,12,7,11,1,2,19,1,20,17,7,2,0,11,11,57,,8,0,18,15,6,14,6,12,2,1,5,38,56,10,24,16,32,8,4,5,4,27,5,44,6,7,0,14,9,13,,0,12,9,4,0,0,9,31,3,17,5,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,0,0,1,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,11,0,19,4,1,0,0,8,0,11,7,6,,7,0,0,3,24,24,6,1,2,6,3,0,0,0,6,6,0,7,18,32,14,1,15,0,1,18,7,0,0,0,38,,1,34,3,0,0,9,7,11,20,1,0,0,4,6,4,24,19,3,7,3,0,16,0,0,0,0,8,1,10,8,,12,21,21,19,3,41,10,14,2,5,11,7,3,15,5,4,3,7,21,2,12,16,22,42,5,71,9,24,8,6,5,,0,4,9,0,15,12,3,29,51,10,9,2,0,3,66,93,42,46,7,2,0,2,11,0,23,31,18,30,5,2,,0,17,4,1,2,33,46,38,7,12,36,37,35,25,28,45,18,0,5,32,45,19,74,28,33,29,26,19,14,9,1,,5,36,13,9,22,0,36,23,0,4,29,2,15,21,12,1,18,7,8,0,8,17,0,11,10,13,1,0,7,18,42,,6,0,33,13,15,27,8,8,2,0,9,38,40,13,18,41,57,14,4,2,3,49,9,36,8,5,1,12,6,11,,0,6,15,6,0,2,19,22,3,20,2,0,0,3,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,0,0,4,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,4,0,0,0,,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,12,0,19,5,1,0,0,7,0,10,6,5,,6,0,0,2,22,22,5,1,2,6,3,0,0,0,5,5,0,7,17,30,17,1,14,0,1,16,7,0,0,0,35,,2,31,4,0,0,11,7,11,18,1,0,0,4,6,4,23,20,3,9,3,0,20,0,0,0,0,8,1,13,9,,18,19,22,19,3,36,10,17,4,8,13,8,3,13,5,4,4,10,19,3,11,19,22,40,8,63,13,27,10,7,5,,0,5,9,0,16,11,3,26,53,9,13,2,0,2,69,80,40,42,7,2,1,1,11,0,33,36,18,29,5,1,,0,17,4,1,2,35,45,41,9,14,37,40,36,27,28,38,21,0,7,34,45,22,68,26,32,26,30,17,12,11,1,,5,36,14,10,24,0,37,25,0,4,27,2,16,23,15,1,17,7,9,0,7,17,1,13,12,12,2,0,8,15,50,,6,0,31,13,13,25,8,9,2,1,8,38,44,13,19,37,53,13,4,3,3,45,8,40,8,5,1,11,7,12,,0,8,14,6,0,1,17,24,3,20,2,1,0,2,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,0,0,,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,13,0,19,5,1,0,0,6,0,8,5,6,,8,0,0,2,19,16,4,1,2,6,5,0,0,0,4,5,0,5,17,27,22,1,12,0,1,13,7,0,0,0,34,,2,25,6,0,0,13,8,10,14,2,0,0,5,5,4,19,22,3,13,4,0,25,0,0,0,0,8,2,17,9,,27,15,23,20,2,31,8,19,6,12,15,8,4,11,4,4,7,15,16,5,10,22,21,44,12,57,19,34,13,10,6,,0,7,8,0,21,9,2,22,56,7,18,3,0,2,70,77,36,37,5,1,1,1,10,0,48,45,21,29,5,1,,0,16,4,1,2,37,41,45,12,15,36,40,36,28,29,32,23,0,7,37,45,24,63,26,32,24,33,18,12,12,1,,6,32,15,11,26,0,44,31,0,4,21,3,20,25,19,1,16,6,9,1,6,16,1,16,14,10,2,0,9,13,54,,5,0,29,13,13,22,6,12,3,1,6,36,47,11,20,35,50,13,4,4,4,43,8,41,8,6,1,10,8,12,,0,11,12,6,0,2,13,27,4,19,3,1,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,1,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,13,0,20,5,1,0,0,7,0,9,6,6,,8,0,0,2,21,20,5,1,2,6,4,0,0,0,4,6,0,6,17,29,18,1,13,0,1,15,7,0,0,0,36,,2,29,5,0,0,11,8,10,16,2,0,0,5,6,4,20,21,4,10,4,0,21,0,0,0,0,8,2,15,9,,20,17,23,20,3,36,9,16,4,9,14,7,4,12,4,4,5,12,18,4,10,19,21,46,9,66,15,31,11,9,4,,0,6,8,0,19,10,3,26,54,8,14,2,0,3,69,90,39,42,6,1,1,2,10,0,38,40,21,31,5,1,,0,17,4,1,2,35,42,41,10,13,37,39,35,26,28,40,20,0,7,33,46,21,70,26,32,27,29,17,12,11,1,,6,33,15,10,24,0,42,28,0,4,24,2,18,23,16,1,17,6,8,0,7,16,1,13,12,11,2,0,8,16,48,,6,0,32,13,14,24,7,11,3,1,7,36,43,12,20,39,55,14,4,3,4,47,9,39,9,5,1,11,7,12,,0,9,13,6,0,2,15,24,4,19,3,1,0,2,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,1,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
