Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,,Day_91,Day_92,Day_93,Day_94,Day_95,Day_96,Day_97,Day_98,Day_99,Day_100,Day_101,Day_102,Day_103,Day_104,Day_105,Day_106,Day_107,Day_108,Day_109,Day_110,Day_111,Day_112,Day_113,Day_114,Day_115,Day_116,Day_117,Day_118,Day_119,Day_120,,Day_121,Day_122,Day_123,Day_124,Day_125,Day_126,Day_127,Day_128,Day_129,Day_130,Day_131,Day_132,Day_133,Day_134,Day_135,Day_136,Day_137,Day_138,Day_139,Day_140,Day_141,Day_142,Day_143,Day_144,Day_145,Day_146,Day_147,Day_148,Day_149,Day_150,Day_151,,Day_152,Day_153,Day_154,Day_155,Day_156,Day_157,Day_158,Day_159,Day_160,Day_161,Day_162,Day_163,Day_164,Day_165,Day_166,Day_167,Day_168,Day_169,Day_170,Day_171,Day_172,Day_173,Day_174,Day_175,Day_176,Day_177,Day_178,Day_179,Day_180,Day_181,,Day_182,Day_183,Day_184,Day_185,Day_186,Day_187,Day_188,Day_189,Day_190,Day_191,Day_192,Day_193,Day_194,Day_195,Day_196,Day_197,Day_198,Day_199,Day_200,Day_201,Day_202,Day_203,Day_204,Day_205,Day_206,Day_207,Day_208,Day_209,Day_210,Day_211,Day_212,,Day_213,Day_214,Day_215,Day_216,Day_217,Day_218,Day_219,Day_220,Day_221,Day_222,Day_223,Day_224,Day_225,Day_226,Day_227,Day_228,Day_229,Day_230,Day_231,Day_232,Day_233,Day_234,Day_235,Day_236,Day_237,Day_238,Day_239,Day_240,Day_241,Day_242,Day_243,,Day_244,Day_245,Day_246,Day_247,Day_248,Day_249,Day_250,Day_251,Day_252,Day_253,Day_254,Day_255,Day_256,Day_257,Day_258,Day_259,Day_260,Day_261,Day_262,Day_263,Day_264,Day_265,Day_266,Day_267,Day_268,Day_269,Day_270,Day_271,Day_272,Day_273,,Day_274,Day_275,Day_276,Day_277,Day_278,Day_279,Day_280,Day_281,Day_282,Day_283,Day_284,Day_285,Day_286,Day_287,Day_288,Day_289,Day_290,Day_291,Day_292,Day_293,Day_294,Day_295,Day_296,Day_297,Day_298,Day_299,Day_300,Day_301,Day_302,Day_303,Day_304,,Day_305,Day_306,Day_307,Day_308,Day_309,Day_310,Day_311,Day_312,Day_313,Day_314,Day_315,Day_316,Day_317,Day_318,Day_319,Day_320,Day_321,Day_322,Day_323,Day_324,Day_325,Day_326,Day_327,Day_328,Day_329,Day_330,Day_331,Day_332,Day_333,Day_334,,Day_335,Day_336,Day_337,Day_338,Day_339,Day_340,Day_341,Day_342,Day_343,Day_344,Day_345,Day_346,Day_347,Day_348,Day_349,Day_350,Day_351,Day_352,Day_353,Day_354,Day_355,Day_356,Day_357,Day_358,Day_359,Day_360,Day_361,Day_362,Day_363,Day_364,Day_365,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,19,,31,0,6,0,12,21,0,0,1,2,13,4,0,4,0,1,0,0,4,0,0,0,0,3,6,0,0,0,0,7,1,,9,0,0,0,0,0,0,0,18,11,0,0,0,0,1,8,63,0,12,34,0,0,9,0,1,0,3,0,11,2,,3,1,1,21,1,40,11,1,8,4,24,45,11,2,5,16,17,18,2,0,0,0,0,0,5,4,55,49,29,0,1,,26,1,12,2,27,53,50,3,51,2,0,0,5,3,38,20,45,70,22,67,25,2,28,7,5,4,2,9,15,28,,40,14,14,7,1,0,18,61,1,3,47,10,2,40,5,1,19,6,12,10,23,26,8,26,8,15,21,4,9,10,36,,15,23,28,12,1,0,0,32,5,5,0,11,10,27,17,5,27,21,32,44,8,6,53,47,8,14,36,24,10,3,27,,10,26,32,1,3,19,14,17,7,3,23,1,24,0,13,6,8,15,8,0,2,17,1,9,16,3,3,6,8,1,,0,2,6,1,0,1,11,2,19,1,0,0,0,0,0,0,3,2,113,114,4,4,12,0,0,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,20,,33,0,5,0,13,21,0,0,1,2,15,5,0,4,0,1,0,0,6,0,0,0,0,4,6,0,0,0,0,9,1,,10,0,0,0,0,0,0,0,16,9,0,0,0,0,1,6,63,0,14,34,0,0,9,0,1,0,4,0,14,2,,5,1,1,26,1,37,10,2,8,6,20,40,12,1,6,21,17,22,3,0,0,0,0,0,6,4,59,48,30,0,2,,27,1,14,2,21,55,50,4,55,1,0,0,6,5,38,23,51,66,25,67,26,2,33,7,5,4,2,6,23,27,,40,14,14,8,1,0,23,60,1,3,49,13,3,39,5,2,18,7,11,8,29,26,14,19,15,15,25,5,16,19,31,,32,20,20,11,2,4,0,28,12,3,0,23,10,39,32,4,77,41,46,57,17,8,61,38,23,21,45,43,28,3,21,,22,69,32,11,2,19,48,12,15,20,11,1,12,5,14,4,13,23,30,1,8,23,1,11,14,5,3,3,22,6,,6,2,6,2,13,3,10,2,15,2,0,0,0,0,0,0,2,11,84,171,5,6,9,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,,14,0,1,0,4,9,0,0,0,19,16,2,0,13,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,4,4,,4,4,0,0,0,0,0,0,14,10,7,0,0,0,1,7,59,0,9,11,0,0,6,0,0,0,3,8,6,2,,20,2,0,45,0,14,6,7,3,1,7,26,5,15,11,6,31,17,36,1,1,1,0,0,2,2,22,17,12,7,0,,7,22,23,1,10,72,41,47,63,1,0,8,9,1,11,11,18,26,18,31,8,1,26,13,6,4,18,4,33,169,,20,12,34,9,0,2,28,45,0,2,33,11,32,46,26,35,18,7,23,8,17,21,7,10,34,9,11,2,20,26,17,,15,18,5,22,1,3,2,17,20,1,7,88,4,73,19,7,111,37,122,71,38,8,83,28,74,41,42,77,22,2,13,,15,80,23,35,1,2,42,2,7,17,1,0,6,7,6,1,7,12,17,4,5,57,8,1,4,0,1,7,21,4,,4,0,10,5,9,2,3,1,15,1,0,0,0,0,0,0,1,7,36,164,8,2,2,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,7,28,,35,39,0,0,5,33,0,0,0,0,8,9,0,13,0,0,22,11,1,0,20,21,0,4,12,13,0,0,1,8,6,,31,104,1,14,0,0,0,0,10,25,9,6,5,2,7,3,11,2,43,3,0,0,9,0,0,18,2,0,11,0,,7,0,4,15,0,20,14,1,13,13,6,28,50,19,10,5,1,19,76,36,11,3,0,0,3,3,63,49,29,0,4,,33,20,22,6,16,27,61,106,16,0,0,0,5,1,10,15,25,30,28,52,11,0,6,7,2,6,15,6,0,4,,17,15,11,6,1,0,15,45,3,3,19,30,10,35,32,0,26,1,36,13,20,13,3,3,1,10,4,5,12,3,32,,20,17,11,24,6,1,17,12,1,8,8,36,23,72,28,17,5,43,55,13,17,16,12,31,33,7,16,9,17,1,5,,22,14,8,9,3,8,10,7,18,12,33,3,2,1,9,5,48,7,1,0,0,17,1,10,4,0,1,4,11,0,,0,22,6,0,7,1,3,31,11,13,0,0,0,0,0,0,3,1,83,86,2,2,6,0,0,7,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,19,19,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,7,24,,27,20,2,0,8,28,0,0,1,1,11,7,0,10,0,1,11,8,5,0,10,4,0,3,7,5,0,0,2,11,5,,38,66,2,10,0,0,0,0,6,10,7,2,7,1,2,6,34,6,23,21,1,1,9,0,0,5,2,2,11,2,,7,0,1,14,0,29,11,4,9,9,15,37,27,10,12,10,5,31,39,27,8,0,0,0,3,4,42,45,32,0,1,,23,6,25,4,20,49,63,53,43,1,0,1,7,5,18,25,26,51,27,50,15,0,36,9,3,14,16,4,1,8,,27,17,22,6,5,1,20,45,12,8,29,17,3,40,13,0,21,4,32,16,27,18,5,13,5,18,17,5,10,8,30,,14,22,18,33,10,2,6,26,4,4,13,15,15,31,16,11,14,35,32,30,9,11,27,36,19,7,30,17,14,3,7,,24,14,27,5,13,22,12,14,17,8,24,6,13,3,9,9,19,16,7,0,0,13,2,11,18,0,4,1,15,0,,0,11,6,2,3,1,10,7,16,9,0,0,0,0,0,0,5,3,68,96,3,10,8,0,0,8,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,17,17,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,10,24,,28,10,4,0,10,26,0,0,1,1,11,5,0,9,0,1,6,5,5,0,5,0,0,3,6,5,0,0,2,9,3,,29,38,2,6,0,0,0,0,10,9,4,1,5,1,1,7,49,4,16,29,1,1,9,0,0,2,3,1,11,2,,5,0,1,15,1,34,11,3,10,6,20,42,18,6,10,11,10,28,21,17,5,0,0,0,3,4,43,47,31,0,0,,25,3,21,3,24,53,59,28,50,1,0,1,6,4,26,24,31,61,25,54,17,0,37,9,4,12,11,6,4,16,,33,17,20,6,4,1,19,51,9,6,29,12,1,41,14,0,20,5,30,15,26,19,5,19,6,18,20,5,13,9,32,,13,22,20,27,8,1,3,30,4,4,9,11,12,24,15,8,19,29,35,43,8,8,42,41,14,10,37,20,12,3,15,,19,17,28,3,10,22,25,15,13,5,23,5,19,2,11,8,14,17,7,0,3,14,2,10,19,0,4,3,13,3,,0,6,6,2,2,1,11,2,18,6,0,0,0,0,0,0,4,3,67,100,3,9,10,0,0,8,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,16,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,4,26,,22,29,1,0,5,30,0,0,0,0,11,7,0,13,0,0,16,12,3,0,14,6,0,2,8,8,0,0,3,8,7,,47,95,3,14,0,0,0,0,6,13,10,3,10,2,2,6,16,8,26,12,1,2,8,0,0,8,1,2,7,1,,8,0,1,14,0,23,10,5,8,12,10,29,31,13,12,5,2,26,54,39,12,1,0,0,2,3,40,43,30,0,1,,22,10,24,4,17,35,56,74,22,0,0,2,7,6,19,22,15,35,23,41,10,0,26,8,3,17,21,5,0,5,,15,16,24,7,6,2,12,41,16,8,26,17,3,35,18,0,19,5,39,19,21,14,5,8,4,16,12,5,10,6,23,,13,16,9,38,13,3,9,20,4,5,18,18,14,32,16,14,7,34,35,21,11,11,15,22,24,7,25,13,15,3,4,,29,8,22,6,15,15,11,9,18,10,28,7,7,3,6,9,23,13,3,0,0,11,2,6,12,0,4,1,15,0,,0,14,7,2,4,1,4,10,10,12,0,0,0,0,0,0,5,4,59,84,2,10,4,0,0,7,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,18,18,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,5,25,,24,26,1,0,6,29,0,0,0,0,11,7,0,12,0,0,14,10,3,0,13,5,0,3,8,7,0,0,3,9,6,,44,84,3,13,0,0,0,0,6,12,9,3,9,2,2,6,23,7,24,15,1,1,8,0,0,7,2,2,8,2,,7,0,1,14,0,25,10,4,9,11,12,32,30,12,12,7,3,28,49,35,10,1,0,0,2,4,41,44,31,0,1,,22,8,25,4,18,40,58,66,30,1,0,1,7,5,19,23,19,40,24,44,12,0,30,8,3,16,19,5,1,6,,19,17,23,7,5,2,15,42,14,8,27,17,3,36,16,0,19,5,36,18,23,15,5,10,5,17,14,5,10,7,25,,13,18,12,36,12,2,8,22,4,5,16,17,14,32,16,13,9,34,34,24,10,11,20,27,22,7,28,15,15,3,5,,27,10,24,6,14,18,12,11,17,9,26,7,9,3,7,9,21,14,4,0,0,12,2,8,14,0,4,1,15,0,,0,13,6,2,4,1,7,9,12,11,0,0,0,0,0,0,5,4,62,88,2,10,5,0,0,7,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,17,17,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,7,24,,28,22,2,0,8,29,0,0,1,1,10,7,0,11,0,1,12,9,4,0,11,5,0,3,8,6,0,0,2,10,5,,37,70,2,10,0,0,0,0,7,12,7,3,7,2,3,5,32,5,25,19,1,1,9,0,0,6,2,1,11,2,,7,0,2,14,0,28,11,4,10,10,14,37,29,11,12,10,5,30,43,28,9,1,0,0,3,4,44,46,32,0,1,,24,8,25,4,20,46,62,58,40,1,0,1,7,4,17,24,26,49,27,50,14,0,32,9,3,13,16,5,1,8,,26,17,20,6,4,1,19,45,11,7,28,18,3,40,15,0,22,4,33,16,27,17,4,12,4,17,16,5,10,8,31,,15,21,18,32,10,2,7,25,4,4,13,17,16,36,18,12,14,36,35,28,10,11,26,35,21,7,29,16,14,3,7,,24,14,26,5,12,20,13,14,17,8,25,6,12,2,9,9,22,15,6,0,0,14,2,11,17,0,4,1,15,0,,0,12,6,2,3,1,9,10,16,10,0,0,0,0,0,0,4,3,70,95,3,9,8,0,0,8,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,17,17,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,6,25,,26,25,1,0,7,29,0,0,0,1,10,7,0,12,0,0,14,10,3,0,13,7,0,3,8,7,0,0,2,9,6,,40,81,3,12,0,0,0,0,7,13,8,3,8,2,3,6,25,6,26,16,1,1,9,0,0,8,2,2,9,2,,7,0,2,14,0,26,11,4,9,11,12,33,31,12,12,8,4,28,49,32,10,1,0,0,2,4,44,45,31,0,1,,24,9,24,4,19,41,60,66,33,1,0,1,7,5,17,23,22,43,26,47,13,0,29,8,3,14,18,5,1,7,,21,17,21,6,5,1,17,44,12,7,27,18,4,37,17,0,21,4,35,17,24,16,4,10,4,16,14,5,10,7,28,,14,19,14,34,11,2,8,23,4,5,14,19,16,36,18,13,11,35,36,25,11,12,21,30,23,7,27,15,15,3,6,,26,12,23,6,12,18,12,12,17,9,26,6,10,3,8,9,24,14,5,0,0,13,2,9,14,0,4,1,15,0,,0,13,6,2,4,1,7,11,13,11,0,0,0,0,0,0,5,3,66,90,2,9,6,0,0,7,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,17,17,
